grade,semester,unit,word,phonetic,pos,meaning,difficulty,tags
7,上,Unit1,student,/ˈstjuːdnt/,n.,学生,1,名词
7,上,Unit1,classmate,/ˈklɑːsmeɪt/,n.,同班同学,1,名词
7,上,Unit1,subject,/ˈsʌbdʒɪkt/,n.,学科；科目,1,名词
7,上,Unit1,lesson,/ˈlesn/,n.,课；教训,1,名词
7,上,Unit1,timetable,/ˈtaɪmteɪbl/,n.,课程表；时间表,1,名词
7,上,Unit1,playground,/ˈpleɪɡraʊnd/,n.,操场,1,名词
7,上,Unit1,laboratory,/ləˈbɒrətri/,n.,实验室,2,名词
7,上,Unit1,homework,/ˈhəʊmwɜːk/,n.,家庭作业,1,名词
7,上,Unit1,exam,/ɪɡˈzæm/,n.,考试,1,名词
7,上,Unit1,term,/tɜːm/,n.,学期,1,名词
7,上,Unit1,uniform,/ˈjuːnɪfɔːm/,n.,校服；制服,1,名词
7,上,Unit1,bell,/bel/,n.,铃；钟,1,名词
7,上,Unit1,course,/kɔːs/,n.,课程,1,名词
7,上,Unit1,knowledge,/ˈnɒlɪdʒ/,n.,知识,2,名词
7,上,Unit1,study,/ˈstʌdi/,v.,学习；研究,1,动词
7,上,Unit1,learn,/lɜːn/,v.,学习；学会,1,动词
7,上,Unit1,practice,/ˈpræktɪs/,v./n.,练习,1,动词
7,上,Unit1,review,/rɪˈvjuː/,v./n.,复习,2,动词
7,上,Unit1,borrow,/ˈbɒrəʊ/,v.,借入,1,动词
7,上,Unit1,return,/rɪˈtɜːn/,v.,归还；返回,1,动词
7,上,Unit1,explain,/ɪkˈspleɪn/,v.,解释,2,动词
7,上,Unit1,miss,/mɪs/,v.,想念；错过,1,动词
7,上,Unit1,correct,/kəˈrekt/,adj./v.,正确的；改正,1,形容词
7,上,Unit1,popular,/ˈpɒpjələ(r)/,adj.,受欢迎的,2,形容词
7,上,Unit1,favourite,/ˈfeɪvərɪt/,adj.,最喜爱的,1,形容词
7,上,Unit2,relative,/ˈrelətɪv/,n.,亲戚,2,名词
7,上,Unit2,cousin,/ˈkʌzn/,n.,堂(表)兄弟姐妹,1,名词
7,上,Unit2,neighbour,/ˈneɪbə(r)/,n.,邻居,1,名词
7,上,Unit2,adult,/ˈædʌlt/,n.,成年人,2,名词
7,上,Unit2,teenager,/ˈtiːneɪdʒə(r)/,n.,青少年,2,名词
7,上,Unit2,engineer,/ˌendʒɪˈnɪə(r)/,n.,工程师,2,名词
7,上,Unit2,scientist,/ˈsaɪəntɪst/,n.,科学家,2,名词
7,上,Unit2,reporter,/rɪˈpɔːtə(r)/,n.,记者,2,名词
7,上,Unit2,actor,/ˈæktə(r)/,n.,演员,1,名词
7,上,Unit2,manager,/ˈmænɪdʒə(r)/,n.,经理,2,名词
7,上,Unit2,guide,/ɡaɪd/,n./v.,导游；引导,2,名词
7,上,Unit2,coach,/kəʊtʃ/,n.,教练,2,名词
7,上,Unit2,hero,/ˈhɪərəʊ/,n.,英雄,1,名词
7,上,Unit2,person,/ˈpɜːsn/,n.,人,1,名词
7,上,Unit2,friendly,/ˈfrendli/,adj.,友好的,1,形容词
7,上,Unit2,kind,/kaɪnd/,adj.,善良的,1,形容词
7,上,Unit2,polite,/pəˈlaɪt/,adj.,有礼貌的,2,形容词
7,上,Unit2,helpful,/ˈhelpfl/,adj.,乐于助人的,1,形容词
7,上,Unit2,lazy,/ˈleɪzi/,adj.,懒惰的,1,形容词
7,上,Unit2,introduce,/ˌɪntrəˈdjuːs/,v.,介绍,2,动词
7,上,Unit2,describe,/dɪˈskraɪb/,v.,描述,2,动词
7,上,Unit2,greet,/ɡriːt/,v.,问候；打招呼,1,动词
7,上,Unit2,laugh,/lɑːf/,v.,大笑,1,动词
7,上,Unit2,worry,/ˈwʌri/,v.,担心,1,动词
7,上,Unit2,trust,/trʌst/,v./n.,信任,2,动词
7,上,Unit3,morning,/ˈmɔːnɪŋ/,n.,早晨,1,名词
7,上,Unit3,weekend,/ˌwiːkˈend/,n.,周末,1,名词
7,上,Unit3,weekday,/ˈwiːkdeɪ/,n.,工作日,1,名词
7,上,Unit3,habit,/ˈhæbɪt/,n.,习惯,2,名词
7,上,Unit3,schedule,/ˈʃedjuːl/,n.,日程安排,2,名词
7,上,Unit3,exercise,/ˈeksəsaɪz/,n./v.,锻炼,1,名词
7,上,Unit3,shower,/ˈʃaʊə(r)/,n.,淋浴,1,名词
7,上,Unit3,brush,/brʌʃ/,n./v.,刷子；刷,1,名词
7,上,Unit3,breakfast,/ˈbrekfəst/,n.,早餐,1,名词
7,上,Unit3,routine,/ruːˈtiːn/,n.,常规；惯例,2,名词
7,上,Unit3,usually,/ˈjuːʒuəli/,adv.,通常,1,副词
7,上,Unit3,always,/ˈɔːlweɪz/,adv.,总是,1,副词
7,上,Unit3,never,/ˈnevə(r)/,adv.,从不,1,副词
7,上,Unit3,sometimes,/ˈsʌmtaɪmz/,adv.,有时,1,副词
7,上,Unit3,quickly,/ˈkwɪkli/,adv.,快速地,1,副词
7,上,Unit3,slowly,/ˈsləʊli/,adv.,缓慢地,1,副词
7,上,Unit3,early,/ˈɜːli/,adv./adj.,早地(的),1,副词
7,上,Unit3,busy,/ˈbɪzi/,adj.,忙碌的,1,形容词
7,上,Unit3,tired,/ˈtaɪəd/,adj.,疲惫的,1,形容词
7,上,Unit3,hungry,/ˈhʌŋɡri/,adj.,饥饿的,1,形容词
7,上,Unit3,thirsty,/ˈθɜːsti/,adj.,口渴的,1,形容词
7,上,Unit3,get up,,v.phr.,起床,1,短语
7,上,Unit3,go to bed,,v.phr.,上床睡觉,1,短语
7,上,Unit3,half,/hɑːf/,n.,一半,1,名词
7,下,Unit1,house,/haʊs/,n.,房屋,1,名词
7,下,Unit1,apartment,/əˈpɑːtmənt/,n.,公寓,2,名词
7,下,Unit1,kitchen,/ˈkɪtʃɪn/,n.,厨房,1,名词
7,下,Unit1,bathroom,/ˈbɑːθruːm/,n.,浴室；卫生间,1,名词
7,下,Unit1,garden,/ˈɡɑːdn/,n.,花园,1,名词
7,下,Unit1,street,/striːt/,n.,街道,1,名词
7,下,Unit1,corner,/ˈkɔːnə(r)/,n.,拐角；角落,2,名词
7,下,Unit1,bridge,/brɪdʒ/,n.,桥,1,名词
7,下,Unit1,supermarket,/ˈsuːpəmɑːkɪt/,n.,超市,1,名词
7,下,Unit1,hospital,/ˈhɒspɪtl/,n.,医院,1,名词
7,下,Unit1,restaurant,/ˈrestrɒnt/,n.,餐馆,1,名词
7,下,Unit1,museum,/mjuˈziːəm/,n.,博物馆,2,名词
7,下,Unit1,cinema,/ˈsɪnəmə/,n.,电影院,1,名词
7,下,Unit1,station,/ˈsteɪʃn/,n.,车站,1,名词
7,下,Unit1,airport,/ˈeəpɔːt/,n.,机场,1,名词
7,下,Unit1,traffic,/ˈtræfɪk/,n.,交通,2,名词
7,下,Unit1,crowded,/ˈkraʊdɪd/,adj.,拥挤的,2,形容词
7,下,Unit1,quiet,/ˈkwaɪət/,adj.,安静的,1,形容词
7,下,Unit1,dirty,/ˈdɜːti/,adj.,脏的,1,形容词
7,下,Unit1,safe,/seɪf/,adj.,安全的,1,形容词
7,下,Unit1,dangerous,/ˈdeɪndʒərəs/,adj.,危险的,2,形容词
7,下,Unit1,direction,/dəˈrekʃn/,n.,方向,2,名词
7,下,Unit1,centre,/ˈsentə(r)/,n.,中心,1,名词
7,下,Unit1,across,/əˈkrɒs/,prep.,穿过,1,介词
7,下,Unit1,between,/bɪˈtwiːn/,prep.,在……之间,1,介词
7,下,Unit2,weather,/ˈweðə(r)/,n.,天气,1,名词
7,下,Unit2,temperature,/ˈtemprətʃə(r)/,n.,温度,2,名词
7,下,Unit2,season,/ˈsiːzn/,n.,季节,1,名词
7,下,Unit2,spring,/sprɪŋ/,n.,春天,1,名词
7,下,Unit2,summer,/ˈsʌmə(r)/,n.,夏天,1,名词
7,下,Unit2,autumn,/ˈɔːtəm/,n.,秋天,1,名词
7,下,Unit2,winter,/ˈwɪntə(r)/,n.,冬天,1,名词
7,下,Unit2,snow,/snəʊ/,n./v.,雪；下雪,1,名词
7,下,Unit2,wind,/wɪnd/,n.,风,1,名词
7,下,Unit2,storm,/stɔːm/,n.,暴风雨,2,名词
7,下,Unit2,forecast,/ˈfɔːkɑːst/,n.,预报,2,名词
7,下,Unit2,sunny,/ˈsʌni/,adj.,晴朗的,1,形容词
7,下,Unit2,cloudy,/ˈklaʊdi/,adj.,多云的,1,形容词
7,下,Unit2,rainy,/ˈreɪni/,adj.,多雨的,1,形容词
7,下,Unit2,snowy,/ˈsnəʊi/,adj.,下雪的,1,形容词
7,下,Unit2,windy,/ˈwɪndi/,adj.,有风的,1,形容词
7,下,Unit2,warm,/wɔːm/,adj.,温暖的,1,形容词
7,下,Unit2,cool,/kuːl/,adj.,凉爽的,1,形容词
7,下,Unit2,dry,/draɪ/,adj.,干燥的,1,形容词
7,下,Unit2,wet,/wet/,adj.,潮湿的,1,形容词
7,下,Unit2,bright,/braɪt/,adj.,明亮的,2,形容词
7,下,Unit2,rainbow,/ˈreɪnbəʊ/,n.,彩虹,1,名词
7,下,Unit3,tiger,/ˈtaɪɡə(r)/,n.,老虎,1,名词
7,下,Unit3,elephant,/ˈelɪfənt/,n.,大象,1,名词
7,下,Unit3,monkey,/ˈmʌŋki/,n.,猴子,1,名词
7,下,Unit3,giraffe,/dʒəˈrɑːf/,n.,长颈鹿,1,名词
7,下,Unit3,panda,/ˈpændə/,n.,熊猫,1,名词
7,下,Unit3,dolphin,/ˈdɒlfɪn/,n.,海豚,2,名词
7,下,Unit3,whale,/weɪl/,n.,鲸,2,名词
7,下,Unit3,smart,/smɑːt/,adj.,聪明的,1,形容词
7,下,Unit3,lovely,/ˈlʌvli/,adj.,可爱的,1,形容词
7,下,Unit3,scary,/ˈskeəri/,adj.,吓人的,1,形容词
7,下,Unit3,cute,/kjuːt/,adj.,可爱的,1,形容词
7,下,Unit3,hobby,/ˈhɒbi/,n.,爱好,1,名词
7,下,Unit3,interest,/ˈɪntrəst/,n.,兴趣,1,名词
7,下,Unit3,chess,/tʃes/,n.,国际象棋,1,名词
7,下,Unit3,guitar,/ɡɪˈtɑː(r)/,n.,吉他,1,名词
7,下,Unit3,violin,/ˌvaɪəˈlɪn/,n.,小提琴,1,名词
7,下,Unit3,drum,/drʌm/,n.,鼓,1,名词
7,下,Unit3,dance,/dɑːns/,v./n.,跳舞,1,动词
7,下,Unit3,paint,/peɪnt/,v./n.,绘画；颜料,1,动词
7,下,Unit3,join,/dʒɔɪn/,v.,加入,1,动词
7,下,Unit3,club,/klʌb/,n.,俱乐部；社团,1,名词
7,下,Unit3,talent,/ˈtælənt/,n.,天赋；才能,2,名词
7,下,Unit3,wonderful,/ˈwʌndəfl/,adj.,精彩的,1,形容词
7,下,Unit3,enjoy,/ɪnˈdʒɔɪ/,v.,欣赏；享受,1,动词
8,上,Unit1,future,/ˈfjuːtʃə(r)/,n.,未来,2,名词
8,上,Unit1,prediction,/prɪˈdɪkʃn/,n.,预测,2,名词
8,上,Unit1,robot,/ˈrəʊbɒt/,n.,机器人,1,名词
8,上,Unit1,planet,/ˈplænɪt/,n.,行星,2,名词
8,上,Unit1,rocket,/ˈrɒkɪt/,n.,火箭,2,名词
8,上,Unit1,space,/speɪs/,n.,太空；空间,1,名词
8,上,Unit1,environment,/ɪnˈvaɪrənmənt/,n.,环境,2,名词
8,上,Unit1,pollution,/pəˈluːʃn/,n.,污染,2,名词
8,上,Unit1,recycle,/ˌriːˈsaɪkl/,v.,回收利用,2,动词
8,上,Unit1,protect,/prəˈtekt/,v.,保护,2,动词
8,上,Unit1,earth,/ɜːθ/,n.,地球,1,名词
8,上,Unit1,forest,/ˈfɒrɪst/,n.,森林,1,名词
8,上,Unit1,mountain,/ˈmaʊntən/,n.,高山,1,名词
8,上,Unit1,island,/ˈaɪlənd/,n.,岛屿,2,名词
8,上,Unit1,desert,/ˈdezət/,n.,沙漠,2,名词
8,上,Unit1,ocean,/ˈəʊʃn/,n.,海洋,2,名词
8,上,Unit1,wildlife,/ˈwaɪldlaɪf/,n.,野生动物,2,名词
8,上,Unit1,nature,/ˈneɪtʃə(r)/,n.,自然,1,名词
8,上,Unit1,energy,/ˈenədʒi/,n.,能量；能源,2,名词
8,上,Unit1,save,/seɪv/,v.,节约；拯救,1,动词
8,上,Unit1,waste,/weɪst/,v./n.,浪费,2,动词
8,上,Unit1,reuse,/ˌriːˈjuːz/,v.,重复使用,2,动词
8,上,Unit1,improve,/ɪmˈpruːv/,v.,改善；提高,2,动词
8,上,Unit1,possible,/ˈpɒsəbl/,adj.,可能的,1,形容词
8,上,Unit1,impossible,/ɪmˈpɒsəbl/,adj.,不可能的,2,形容词
8,上,Unit2,recipe,/ˈresəpi/,n.,食谱；烹饪法,2,名词
8,上,Unit2,ingredient,/ɪnˈɡriːdiənt/,n.,原料；成分,2,名词
8,上,Unit2,mix,/mɪks/,v.,混合,1,动词
8,上,Unit2,pour,/pɔː(r)/,v.,倒；倾倒,2,动词
8,上,Unit2,slice,/slaɪs/,v./n.,切片,2,动词
8,上,Unit2,boil,/bɔɪl/,v.,煮沸,2,动词
8,上,Unit2,fry,/fraɪ/,v.,油煎；油炸,2,动词
8,上,Unit2,bake,/beɪk/,v.,烘焙,2,动词
8,上,Unit2,delicious,/dɪˈlɪʃəs/,adj.,美味的,1,形容词
8,上,Unit2,taste,/teɪst/,v./n.,品尝；味道,1,动词
8,上,Unit2,smell,/smel/,v./n.,闻；气味,1,动词
8,上,Unit2,salty,/ˈsɔːlti/,adj.,咸的,2,形容词
8,上,Unit2,sweet,/swiːt/,adj.,甜的,1,形容词
8,上,Unit2,sour,/ˈsaʊə(r)/,adj.,酸的,2,形容词
8,上,Unit2,spicy,/ˈspaɪsi/,adj.,辣的,2,形容词
8,上,Unit2,fresh,/freʃ/,adj.,新鲜的,1,形容词
8,上,Unit2,meal,/miːl/,n.,一餐,1,名词
8,上,Unit2,snack,/snæk/,n.,零食；小吃,2,名词
8,上,Unit2,invite,/ɪnˈvaɪt/,v.,邀请,2,动词
8,上,Unit2,guest,/ɡest/,n.,客人,2,名词
8,上,Unit2,serve,/sɜːv/,v.,上菜；服务,2,动词
8,上,Unit2,plate,/pleɪt/,n.,盘子,1,名词
8,上,Unit2,spoon,/spuːn/,n.,勺子,1,名词
8,上,Unit3,travel,/ˈtrævl/,v./n.,旅行,1,动词
8,上,Unit3,journey,/ˈdʒɜːni/,n.,旅程,2,名词
8,上,Unit3,ticket,/ˈtɪkɪt/,n.,票,1,名词
8,上,Unit3,luggage,/ˈlʌɡɪdʒ/,n.,行李,2,名词
8,上,Unit3,passport,/ˈpɑːspɔːt/,n.,护照,2,名词
8,上,Unit3,hotel,/həʊˈtel/,n.,旅馆,1,名词
8,上,Unit3,sightseeing,/ˈsaɪtsiːɪŋ/,n.,观光,2,名词
8,上,Unit3,culture,/ˈkʌltʃə(r)/,n.,文化,2,名词
8,上,Unit3,custom,/ˈkʌstəm/,n.,风俗；习惯,2,名词
8,上,Unit3,festival,/ˈfestɪvl/,n.,节日,1,名词
8,上,Unit3,celebrate,/ˈselɪbreɪt/,v.,庆祝,2,动词
8,上,Unit3,invitation,/ˌɪnvɪˈteɪʃn/,n.,邀请,2,名词
8,上,Unit3,refuse,/rɪˈfjuːz/,v.,拒绝,2,动词
8,上,Unit3,accept,/əkˈsept/,v.,接受,2,动词
8,上,Unit3,prepare,/prɪˈpeə(r)/,v.,准备,1,动词
8,上,Unit3,organize,/ˈɔːɡənaɪz/,v.,组织,2,动词
8,上,Unit3,calendar,/ˈkælɪndə(r)/,n.,日历,2,名词
8,上,Unit3,event,/ɪˈvent/,n.,事件；活动,2,名词
8,上,Unit3,competition,/ˌkɒmpəˈtɪʃn/,n.,比赛；竞争,2,名词
8,上,Unit3,prize,/praɪz/,n.,奖品,1,名词
8,上,Unit3,champion,/ˈtʃæmpiən/,n.,冠军,2,名词
8,上,Unit3,audience,/ˈɔːdiəns/,n.,观众,2,名词
8,上,Unit3,performance,/pəˈfɔːməns/,n.,表演；表现,2,名词
8,上,Unit3,stage,/steɪdʒ/,n.,舞台,2,名词
8,下,Unit1,health,/helθ/,n.,健康,1,名词
8,下,Unit1,illness,/ˈɪlnəs/,n.,疾病,2,名词
8,下,Unit1,medicine,/ˈmedsn/,n.,药,1,名词
8,下,Unit1,fever,/ˈfiːvə(r)/,n.,发烧,1,名词
8,下,Unit1,cough,/kɒf/,n./v.,咳嗽,2,名词
8,下,Unit1,headache,/ˈhedeɪk/,n.,头疼,1,名词
8,下,Unit1,stomachache,/ˈstʌməkeɪk/,n.,胃疼,2,名词
8,下,Unit1,rest,/rest/,n./v.,休息,1,名词
8,下,Unit1,relax,/rɪˈlæks/,v.,放松,2,动词
8,下,Unit1,stress,/stres/,n.,压力,2,名词
8,下,Unit1,sleep,/sliːp/,v./n.,睡觉,1,动词
